"treason","On May 29, 1765 Patrick Henry's Stamp Act protest was interrupted with this one word"
"seditionacts","If this act hadn't passed July 14, 1798, we would have had just the Alien Acts"
"michigan","In 1805 this territory was created from the Indiana one, with all or parts of the lower and upper peninsulas"
"peterstuyvesant","In September 1664 this governor of New Amsterdam surrendered to the British, ending Dutch power in the New World"
"elpaso","A 1963 treaty with Mexico settled a boundary dispute between Ciudad Juarez and this Texas city"
"gettysburgaddress","Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."
"alamo","Davy Crockett was among nearly 200 men who died defending this mission-fortress in San Antonio, Texas"
"lewisclark","After journeying 4,000 miles, this pair's expedition finally reached the Pacific Ocean in November 1805"
"jamestown","During Bacon's Rebellion in 1676 this 1st permanent English settlement in America was burned to the ground"
"achicken","A 1928 campaign slogan promised this ""in every pot and a car in every garage"
"paulrevere","In 1776 this silversmith set up a mill to make gunpowder after the colonists ran out of it at Bunker Hill"
"montgomeryalabama","The Confederate States of America were established in 1861 in this city, the first Confederate capital"
"ethanallen","This leader of the Green Mountain Boys was a champion for the creation of the Green Mountain State"
"supremecourt","By 1942 FDR had appointed 7 new men to this body: it took a while, but he got the packing he had wanted"
"triangletrade","Slaves, molasses and rum were exchanged in the 3 arms of the colonial practice known as this ""trade"
"alamo","Our flag still waves proudly from the walls"", William B. Travis said of it, ""I shall never surrender or retreat"
"saturday","Nixon's Att'y-Gen. E. Richardson resigned and Watergate prosecutor A. Cox was fired on this night of the week"
"vermont","After the original 13, this was the 1st state admitted to the union"
"canada","Escaped slaves in the 1850s and draft dodgers in the 1960s mainly headed to this country"
"virginia","In the first census conducted in 1790, this state, with nearly 692,000 people, was the most populous"
"williampenn","14 years before coming to America, this Quaker was imprisoned in the Tower of London for his beliefs"
"nato","In 1949 the U.S. joined this Western defense pact; our 1st ever peacetime alliance"
"jamestown","This settlement's economy grew after John Rolfe found that tobacco could be successfully grown there"
"manifestdestiny","19th century term for the belief that U.S. expansion across North America was ""destined by God"
"horn","Custer's Last Stand is also known by the oxymoronic name ""Little Big"" this"
"texas","Born in Tennessee, Davy Crockett died in what's now this state"
"buffalobill","William Cody's 2-word nickname, or perhaps what he sent out to his clients at the end of each month"
"silverdollar","Contrary to myth, Washington didn't throw one of these across the Potomac; there weren't any when he was young"
"tea","In 1774 New Jerseyites dressed as Indians burned this in Greenwich; a similar ""Party"" occurred earlier in Boston"
"panamacanal","In 1901 the Senate ratified the Hay-Pauncefote Treaty, allowing the U.S. to build this in Central America"
"manilabay","On May 1, 1898 Commodore Dewey defeated the Spanish Pacific fleet at the battle of this Philippine bay"
"maryland","On May 10, 1692 this colony founded by Cecil Calvert made the Anglican Church its official church"
"victorygardens","Nickname given the WWII backyard vegetable patches"
"charleston","In May of 1780, Gen. Benjamin Lincoln was forced to surrender this South Carolina port to the British"
"beirut","More than 200 U.S. Marines were killed in 1983 by a truck bomb at their barracks in this Mideast capital"
"johnsmith","He related the story of Pocahontas in his ""General History of Virginia"" in 1624"
"havana","On February 15, 1898 the U.S. battleship Maine blew up in this Cuban capital's harbor"
"davycrockett","This ""King of the Wild Frontier"" once claimed to have killed 105 bears during a few months in 1825"
"poverty","The ""War on"" this, approved by Congress in August of 1964, included VISTA, Volunteers in Service to America"
"newdeal","What's known as the second of these programs began with FDR's January 4, 1935 message to Congress"
"jamestown","John Smith was among the early members on the Council of Seven that governed this Virginia colony"
"roughriders","This volunteer group was born in may 1898 near the bar in San Antonio's Menger Hotel; it existed for just 133 days"
"plymouthcolony","In November 1620 John Carver was elected the first governor of this colony"
"alflandon","In 1933 this Republican began serving the first of his 2 terms as governor of Kansas"
"alexeikosygin","In June 1967 LBJ met with this Soviet premier in Glassboro, N.J. to discuss world problems"
"winfieldscott","On September 14, 1847, this general led the American army into Mexico City"
"louisianapurchase","This 1803 acquisition doubled the size of the U.S."
"alexanderhamilton","Though he said he found dueling abhorent, he participated in one in 1804"
"arizona","In 1912, it became 48th and last contiguous state to join The Union"
"hindenburg","Remarkably, there were more than 60 survivors when this Zeppelin crashed in New Jersey in 1937"
"republican","Elected the 19th U.S. president in 1876, Rutherford B. Hayes was a member of this political party"
"philip","This Indian ""king"" for whom a war against American colonists was named was tracked down and killed in 1676"
"rice","In the late 1600s this Asian grain became the main crop of the Carolina coastal lowlands"
"richardnixon","In 1972 George McGovern called this president's administration the ""most corrupt"" in U.S. history"
"newjersey","In 1664 the Duke of York granted land west of the Hudson River to his supporters; it was named this"
"rosaparks","History was made on December 1, 1955 when bus driver James Blake called the police and had this person arrested"
"draft","You're in the Army now--in 1940 FDR instituted the first peacetime one of these in U.S. history"
"amachine","This term for a mechanical device can also be an organization running city politics, like NYC's Tammany Hall"
"attorneygeneral","Edward Brooke was the first African American to hold this post for a state; Eric Holder is the first federal one"
"robertfulton","This man's 1807 steamboat run up the Hudson led to an 1824 Supreme Court decision on interstate commerce"
"puertorico","In 1953, this island's first year as a U.S. commonwealth, 75,000 residents moved to the mainland"
"woodrowwilson","This president collapsed September 25, 1919 and one week later suffered a stroke"
"vermont","In 1609 Champlain reached the lake now named for him on the border of New York and this state"
"wisconsin","In 1903 this ""Badger State"" became the first to adopt direct primary elections"
"libya","On the night of April 14, 1986, U.S. warplanes bombed Tripoli and Benghazi in this African country"
"chisholmtrail","Traffic on this trail between San Antonio and Abilene peaked in 1871 with 600,000 cattle"
"charlotte","Until the late 1840s, this largest North Carolina city was the USA's chief source of gold"
"mollymaguires","19 members of this Irish-American terrorist society active in 1870s Pennsylvania were hanged"
"texas","In the last week of the John Tyler administration, this republic was offered statehood"
"southcarolina","On December 20, 1860, as a result of Lincoln's election, this state seceded from the Union"
"dolleymadison","Fleeing the capital on August 24, 1814, she took a Gilbert Stuart portrait of Washington with her"
"alflandon","In 1932 this Republican was elected governor of Kansas; he won reelection in 1934"
"wrightbrothers","On May 22, 1906 they received a patent for an improved model of their airplane"
"lexingtonconcord","Samuel Adams referred to this April 19, 1775 battle when he said, ""What a glorious morning for America!"
"davycrockett","Prior to his election to the Tennessee legislature in 1821, this frontiersman was a Justice of the Peace"
"jamesmadison","Of the 3 writers of the Federalist papers, 2 were New Yorkers and he was a Virginian"
"panamacanal","On Nov. 9, 1906 Teddy Roosevelt left the U.S. to personally see the progress on this engineering project"
"whigs","The British party of this name aimed to limit the king's powers; the U.S. party hoped to limit ""King Andrew"" Jackson"
"georgewallace","On May 15, 1972 while campaigning in Laurel, Md., this Alabama governor was shot and paralyzed by Arthur Bremer"
"algerhiss","In 1948 Whittaker Chambers implicated this State Department official as an espionage agent for the Soviets"
"georgia","I've had it ""on my mind"" that this state has joined the Union 3 times, in 1788, 1868 and 1870"
"butter","A federal law from 1950 prohibited the labeling of colored oleo as this"
"foodstamps","The Dept. of Agriculture began a new version of this program in 1964; by 1975 it was helping over 17 million people"
"matthewperry","This commodore became a friend to Japan in 1854, showing them the telegraph and a daguerreotype camera"
"georgia","This state's been ""on my mind"" since it entered the Union 3 times, in 1788, 1868 and 1870"
"income","In 1913 the 16th Amendment was passed allowing Congress to collect taxes on this"
"dolleymadison","Fleeing the capital on August 24, 1814, she took a Gilbert Stuart portrait of Washington with her"
"swampfox","Guerrilla leader Francis Marion earned this nickname for his daring raids from the South Carolina marshes"
"fremont","Name that completed an 1856 Republican slogan, ""Free soil, free speech, free men and..."
"mayflower","15 indentured servants were aboard this ship when it sailed for the new world, Sept. 16, 1620"
"johnbrown","He was hanged in Charlestown, Virginia about 6 weeks after he led the attack on Harper's Ferry"
"mexico","In 1834 Stephen Austin was held in prison for 8 months in this country"
"andrewjackson","In 1818 this general ordered 2 traders arrested and executed for inciting the Seminole Indians"
"crazyhorse","This Oglala Sioux chief was fatally stabbed Sept. 5, 1877 at Fort Robinson, Nebraska"
"lexington","When the British approached, the Concord Militia didn't know about the skirmish at this place earlier that day"
"bonds","WWI sales of ""Liberty"" these, whose posters showed the statue, raised more than $15 billion"
"oregontrail","You didn't want to make the mistake of following the south instead of the north platte on this pioneer trail"
"radicalrepublicans","Now sounding oxymoronic, these alliterative Republicans were the party's anti-slavery wing in its early years"
"neworleans","Unaware of the Treaty of Ghent signed earlier, the British attacked this Louisiana city on Jan. 8, 1815"
"bunkerhill","The British gained Charlestown Peninsula, now in Boston, by winning this June 17, 1775 battle"
"johnjay","In 1794 this chief justice negotiated a treaty calling for British evacuation of the Northwest"
"benedictarnold","After General Cornwallis Surrendered at Yorktown, this American traitor accompanied him back to England"
"emancipationproclamation","This January 1, 1863 document liberated all slaves in regions still under Confederate control"
"johnsmith","In 1609 this captain was injured in a gunpowder explosion and lost his leadership role in Jamestown"
"franklinroosevelt","The ""New Deal"" refers to the economic recovery and social reforms implemented by this U.S. president"
"maine","In 1898 Americans were urged to ""remember"" this battleship that sank in Havana harbor, leading to war with Spain"
"gold","Black Friday, September 24, 1869, resulted from Gould and Fisk's attempt to corner the U.S. supply of this"
"peterstuyvessant","He was the last Dutch governor of New York, which was New Netherland at the time"
"santaanna","At the Battle of San Jacinto, Sam Houston took this Mexican leader prisoner"
"monitor","Swedish-born John Ericsson designed this 1st of the ironclads with a revolving turret"
"newyork","On July 9, 1776 this state's legislature met in White Plains and ratified the Declaration of Independence"
"tehran","8 Americans were killed April 24, 1980 in a failed attempt to rescue American hostages held in this city"
"sallyride","After answering a NASA newspaper notice in the '70s, she became America's first woman in space"
"calvincoolidge","In 1919 this future pres. mobilized the Mass. Militia to restore order in the Boston police strike"
"louisianapurchase","This famous transaction in 1803 doubled the territory of the U.S."
"masondixon","In the 1760s these 2 surveyors used milestones to mark the boundary line between Maryland and Pennsylvania"
"nixon","The Watergate scandal led to the resignation of this U.S. president in 1974"
"reconstruction","This 14-letter term refers to the period of readjustment and rebuilding after the Civil War"
"cherokee","Tragically, in the 1830s, some 4,000 members of this Indian tribe died during a forced march known as the Trail of Tears"
"slavery","Bleeding Kansas"" was so named because of violence over this issue in the 1850s"
"jamesoglethorpe","He obtained a charter to establish Georgia in 1732 and founded Savannah a year later"
"tecumseh","This Shawnee chief and his brother, the Prophet, were both defeated in battles by William Henry Harrison"
"frauncestavern","On Dec. 4, 1783 George Washington bade his officers farewell at this New York City tavern"
"jamesgadsden","As minister to Mexico, he was authorized by President Pierce to buy border land for the railroads"
"louisianapurchase","On October 20, 1803, the senate ratified the treaty for this land acquisition"
"ethanallen","Benedict Arnold and this man's Green Mountain Boys captured Ticonderoga, May 10, 1775"
"whigs","The name of this anti-Jackson party was introduced to the senate by Henry Clay, April 14, 1834"
"johntyler","In 1843 Daniel Webster resigned as this president's Secretary of State"
"patrickhenry","This orator became governor of Virginia in 1776"
"hanging","19 convicted ""witches"" were executed this way in Salem, Massachusetts"
"pocahontas","In 1616 she went to England with her husband, John, and her infant son"
"sojournertruth","The legal name of this black evangelist-abolitionist was Isabella Van Wagener"
"mayflowercompact","John Alden was the last surviving signer of this"
"bostonmassacre","For their part in this 1770 Massachusetts riot, 2 soldiers were branded on the thumb"
"lincolnmemorial","This monument with a 19-foot seated statue was dedicated by President Harding May 30, 1922"
"dredscott","The Supreme Court's 7-2 decision in this slavery case helped bring on the Civil War"
"hueylong","Though elected to the senate in 1930, this Louisiana governor didn't take his seat until 1932"
"attica","In September, 1971, 43 peole were killed during a 4-day riot at this New York prison"
"fortboise","2 forts were founded in Idaho in 1834: Fort Hall and this one that bore the name of the future capital"
"s","Decade that saw the Freedom Summer and the Freedom Riders"
"minnesota","The only state Reagan didn't carry in 1984 was this one, Mondale's home state"
"civilwar","It's the war that was opposed by some Copperheads"
"jamesgadsden","The land purchase he negotiated with Mexico was in part intended for a cross-country railroad he wanted to build"
"texas","In 1833 this area asked to separate from Coahuila to become its own Mexican state"
"cody","In 1901 Buffalo Bill founded this town in the Big Horn Basin of Wyoming"
"statuaryhall","Frances Willard, a president of the WCTU, was the first woman honored in this Capitol building hall"
"patrickhenry","In a March 1775 speech he also said, is ""peace so sweet as to be purchased at the price of chains and slavery?"
"ameliaearhart","In January 1935 she became the first woman to fly solo from Hawaii to the U.S. mainland"
"nathanhale","His final regret was ""I only regret that I have but one life to lose for my country"
"oklahoma","On April 22, 1889 ""Sooners"" staked claims hours ahead of schedule in Guthrie City in this territory's land grab"
"appalachians","This 1,500-mile-long mountain system divided the Civil War into the eastern and western theaters"
"socialist","In 1910 Victor Berger of Wisconsin became the first of this party of Eugene Debs elected to Congress"
"johnbrown","After his 1859 hanging, Civil War troops sang of this abolitionist's body ""mouldering in the grave"
"income","In 1913 the 16th Amendment was passed allowing Congress to collect taxes on this"
"midway","During WWII America won its 1st major victory over Japan in this naval battle, about 1,200 miles from Hawaii"
"georgewashington","Bushrod, the favorite nephew of this president, became a Supreme Court justice in 1798"
"warof","The Federalists called it ""Mr. Madison's War"
"republican","In 1856 William Dayton became the first vice presidential candidate of this new party"
"danielinouye","In 1962 this Hawaiian became the first Japanese-American elected to the U.S. Senate"
"revolutionarywar","The area that's now the State of Indiana was acquired in this war"
"southcarolina","In 1787 Delaware became the 1st state in the Union; in 1860 this became the 1st state to secede"
"puertorico","In 1952 this territory adopted its own constitution and became a commonwealth"
"flyingmail","In 1926 Lindbergh had to parachute out of planes 4 times while employed to do this"
"sovietunion","Wilson, Harding, Coolidge and Hoover refused to recognize this country's government, but FDR did"
"mayflowercompact","41 male passengers signed this document in Provincetown Harbor, November 11, 1620"
"cia","On May 9, 1995 the Senate, by a vote of 98-0, confirmed John Deutch as director of this agency"
"mayaguez","In 1975 200 U.S. Marines recaptured this merchant ship that had been seized by Cambodia"
"alexanderhamilton","He died in 1804 the day after his duel with Aaron Burr"
"vermont","After the original 13 colonies, this was the first state to enter the union"
"georgewashington","Though this president chose the general site for the executive mansion, he never lived there"
"texas","In 1836 this republic asked to be annexed to the U.S."
"missouri","A compromise allowed Maine's admission to the union in 1820 as a free state and this as a slave state in 1821"
"california","In 1850 it became the first state on the Pacific coast admitted to the union"
"revolutionarywar","The U.S. Marine Corps was first established to fight in this war"
"thurgoodmarshall","On Oct. 2, 1967 he was sworn in as the first African-American Supreme Court justice"
"greatawakening","Jonathan Edwards was among the leaders of this ""great"" religious movement of the 1700s"
"haymarketriot","In 1893 3 men serving prison sentences for this riot were pardoned by the governor of Illinois"
"alaska","In October 1867 Gen. Rousseau took formal possession of this territory that the U.S. had bought in March"
"oklahoma","In 1907 Charles N. Haskell of Muskogee became this new state's first governor"
"thomaspaine","Because of his deist beliefs, this ""Age of Reason"" author died a social outcast in New York City in 1809"
"stephendecatur","He was promoted to captain for burning the captured U.S. frigate Philadelphia in Tripoli Harbor"
"lottery","The Continental Congress approved this ""game"" to raise money for the army; it never hit $250 million (dollars)"
"johngotti","After 3 previous acquittals, this reputed crime family boss was finally convicted in New York City on April 2, 1992"
"cincinnati","Due to expansive pork processing facilities, this city on the Ohio River was once known as ""Porkopolis"
"abbiehoffman","He shook up society in the 1960s and later published ""Revolution for the Hell of It"" and ""Steal This Book"
"benjaminfranklin","From 1757 to 1762 this man was ambassador extraordinaire of the American colonies to Great Britain"
"tokyorose","On Jan. 19, 1977 President Ford pardoned this woman who'd been convicted of treason in World War II"
"bellaabzug","This N.Y. woman's 1970 campaign slogan was ""This woman's place is in the House -- the House of Representatives!"
"louisianapurchase","It was the main cause of the 1803 jump in the national debt to $86.4 million"
"brighamyoung","On August 29, 1877, this leader of the Mormon Church died"
"jeanlafitte","After aiding the U.S. in the Battle of New Orleans, this pirate was pardoned"
"dwighteisenhower","In December 1952, this president-elect visited the front lines during the Korean War"
"eriecanal","After this waterway opened in 1825, freight rates between Buffalo and NYC were cut by more than 90%"
"peterminuit","This man who bought Manhattan from the Indians later served as governor of New Sweden"
"boston","On Dec. 16, 1773 American patriots dumped 342 chests of tea into this city's harbor"
"morse","In May 1844 he sent a telegraph message using the code he'd also invented"
"tobacco","John Rolfe came to the new world to grow this cash crop; picking up Pocahontas was a bonus"
"fdr","This president said fear itself is ""nameless, unreasoning, unjustified terror which paralyzes needed efforts"
"antoninscalia","In 1986 he became the first Italian-American to sit on the Supreme Court"
"tennessee","What was once the proposed state of Franklin became part of this new state in 1796"
"willhays","After serving as postmaster general in 1921 and 1922 he became ""czar"" of the motion picture industry"
"embargoact","In 1807 Congress passed this act that forbade American ships from trading abroad; it lasted just over a year"
"korea","On October 24, 1952 Eisenhower vowed to go to this country and 5 weeks later, he did"
"indiana","In 1732, Vincennes, in this future state, was founded by the French on the Wabash River"
"mexico","On May 13, 1846, President James K. Polk signed a declaration of war against this country"
"mississippi","When Thomas Jefferson took office in March, 1801, this river formed the western U.S. boundary"
"johnsherman","In 1890 this GOP senator from Ohio sponsored an antitrust act and the Silver Purchase Act"
"kofiannan","In 1997 this U.N. secy.-general became the first international guest of President Clinton's second term"
"earlwarren","On Sept. 30, 1953, Pres. Eisenhower named this California governor as Chief Justice of the U.S."
"theodoreroosevelt","In 1912 this ""Bull Moose"" spoke for about 50 minutes with a would-be-assassin's bullet lodged in his chest"
"samhouston","The siege of the Alamo gave this Texas general time to prepare for the Battle of San Jacinto"
"johndillinger","This Public Enemy No. 1 robbed Midwestern banks until 1934 when he was done in by the Woman in Red"
"slavery","Lawrence, Kansas was founded by people opposed to this practice"
"northcarolina","In 1960 black sit-ins at segregated lunch counters started in Greensboro in this state"
"santafe","In 1692 the Spanish regained control of this future New Mexico capital from the Pueblo Indians"
"harvard","In 1639 the Court of Massachusetts ordered that ""The Colledge...to bee built at Cambridg"" be called this"
"maine","The political slogan ""As"" this state ""goes, so goes the nation"" dates back to the 1880s"
"dredscott","In 1857 antislavery forces were set back when the Supreme Court decided the case of this man vs. Sandford"
"thomaseagleton","On July 31, 1972 this Missouri senator withdrew as McGovern's running mate because of earlier psychiatric care"
"emancipationproclamation","Lincoln said it was ""the central act of my administration and the greatest event of the 19th century"
"benedictarnold","This traitor took a cut in rank from major general in the U.S. Army to brigadier general in the British Army"
"chocolate","In 1765 Dr. James Baker opened his first factory in Massachusetts to make this - how sweet!"
"seagulls","Mormons say divine intervention sent these birds to stop a cricket infestation in 1848"
"johnbrown","He was born in Connecticut in 1800 and hanged for treason in Virginia in 1859"
"warof","In 1814 and 1815 New England leaders took part in the Hartford Convention to discuss opposition to this war"
"thomasjefferson","In 1804 Justice Samuel Chase was impeached for comments critical of this president's administration"
"mobilebay","On August 5, 1864 David Farragut barreled full speed ahead into this Alabama bay, defeating the Confederate navy"
"massasoit","In 1621 this Wampanoag chief and about 90 of his people shared Thanksgiving with the Pilgrims"
"salem","Witchcraft trials held in this town in 1692 led to the hangings of 19 people"
"bullrun","Stonewall Jackson earned his nickname during the Battle of Manassas, also called the Battle of this creek"
"danielwebster","He was called ""Black Dan"" due to his swarthy complexion and ""Godlike Daniel"" from his imposing style"
"airforce","A branch of the military that was part of the army before it became independent in 1947"
"goldstrike","This 1848 event made the California trail the most traveled pioneer road by 1850"
"johnjay","Before becoming chief justice in 1789, he was Sec'y of Foreign Affairs in the Continental Congress"
"hoover","In 1928 this Republican campaigned for president promising ""a chicken in every pot"
"scopestrial","Judge John T. Raulston presided over this Dayton, Tennessee trial in July 1925"
"spindletop","The first gusher in the U.S. occurred in this oil field near Beaumont, Texas in 1901"
