'aayla secura','Tilek Jedi Knight'
'Sio Bibble','Governor of Naboo'
'Sly Moore','Palpatines staff aide who is an Umbaran'
'Stass Allie','tholothian jedi master; Cousin to Adi'
'Sun Fac','Poggle The Lessers lieutenant'
'Sy Snootles',',ead vocalist of the Max Rebo Band; Long skinny snout'
'Tarfful','Wookie chieftain'
'Tauntaun','Hoth Snow Lizards'
'Teebo','Ewok mystic'
'Ten Numb','B-Wing Pilot'
'Tessek','Jabbas Quarren Accountant'
'Tion Medon','Port Administrator of Pau City'
'Tusken','------ Raider; Fierce Tatooine Nomads'
'Ugnaught','Porcine species on cloud city'
'Utai','Workers on Utapau'
'Wampa', 'Ravenous ice creature on Hoth'
'Wat Tambor','Foreman of the techno union'
'Yaddle','Jedi Master. She is of same species as Yoda and looks up to him'
'Yarael Poof','Queriman Jedi Master'
'Yada','Adkajian Dancer at Jabbas palace'
'Yoda','Legendary Jedi master who trained luke on Degeba'
'Zett Jukassa','Jedi Padawan of Jedi Knight Mierme Unill'
'Zuckuss','Gand Bounty Hunter'
'Watto','ToyDarian Junk Dealer'
'Warrick','Wicket W. -----------; Young Ewok Loner'
