"drseuss","It was the pen name of beloved children's author Theodor Geisel"
"civilwar","Legendary General George Armstrong Custer first saw action in this war"
"alexanderhamilton","Today found on the $10 bill, he was an aide-de-camp to Washington and also served in his cabinet"
"mir","In 1995 astronaut Norman Thagard became the first American to board this Russian space station"
"king","Though the Constitution says the U.S. can't have one of these, it was the last name of Constitution signer Rufus"
"robertpeary","In 1909 he sent the message ""Stars and Stripes nailed to the pole"
"benjaminfranklin","In 1733 he wrote, ""The heart of a fool is in his mouth, but the mouth of a wise man is in his heart"
"waltdisney","He once promised, ""As long as there is imagination left in the world"" his theme park would never be completed"
"anniesullivan","Helen Keller's ""Miracle Worker"", this teacher was inducted into the National Women's Hall of Fame in 2003"
"pat","California Governor Edmund G. Brown, Jr. went by the name Jerry; his father, also Governor, went by this nickname"
"jeanetterankin","In 1917 this Montanan became the first woman member of the U.S. House of Representatives"
"jimthorpe","In 1920 this man, great-grandson of Sauk leader Black Hawk, became the first president of what is now the NFL"
"charleslindbergh","After his public comments were criticized by FDR, he resigned his Air Corps Reserve commission in April 1941"
"neilarmstrong","On July 20, 1999 it was 30 years since this man said, ""Houston... the Eagle has landed"
"homersimpson","He's the famous fictional father seen here"
"tigerwoods","In professional golf, this ""cat"" is the No. 1 ranked player in the world"
"elvispresley","He's the legendary performer seen here on a popular 1993 postage stamp"
"brucespringsteen","This singer's blue-collar music is a celebration of the common man"
"charlesschulz","He originally called his ""Peanuts"" comic strip ""Li'l Folks"
"brighamyoung","In 1844 he succeeded Joseph Smith as leader of the Mormon Church"
"sallyride","Against Billie Jean King's advice, she gave up tennis and eventually became the first American woman in space"
"richardbyrd","In 1947 this rear admiral was officer-in-charge of the largest Antarctic expedition by a single country"
"normanschwarzkopf","For his part in the Gulf War, this ""Stormin"" general received the Distinguished Order of Kuwait"
"jesseowens","In 1982 a street outside Berlin's Olympic Stadium was renamed in his honor"
"horses","Growing up on a farm, Henry Ford didn't ""care much for"" these... ""I never really made friends with them"
"abrahamlincoln","Stephen Vincent Benet said this president was ""Six feet one in his stocking feet"" and ""Tough as a hickory rail"
"anseladams","This 20th century wilderness photographer had an earlier career as a professional musician"
"miltoneisenhower","In 1942 this brother of President Eisenhower directed the War Relocation Authority"
"jamesoglethorpe","The original Tybee lighthouse at the mouth of the Savannah River was built in 1736 by this Georgia founder"
"sarahcaldwell","In 1976 this founder of the Opera Company of Boston became the first woman to conduct at the Met"
"henryheimlich","Since being introduced in 1974, his famous ""maneuver"" has saved thousands of choking people, and pets, too"
"ralphbunche","In 1950 this U.N. mediator became the first African American to be awarded the Nobel Peace Prize"
"charleseames","Famous for his chairs, in 1946 this designer had the first one-man furniture exhibit at MoMA"
"johnwanamaker","This department store founder was president of the Philadelphia YMCA from 1870 to 1883"
"neilarmstrong","Leon Wagener's biography of him is entitled ""One Giant Leap"
"colinpowell","He was the first African-American Chairman of the Joint Chiefs of Staff"
"tennesseewilliams","A famous line in one of his plays is ""I have always depended on the kindness of strangers"
"horacegreeley","After helping Jefferson Davis make bail in 1867, this New Hork Tribune publisher lost about half his readers"
"danielboone","James Fenimore Cooper based the character of Natty Bumppo on this man who was born in 1734"
"arthurnielsen","In 1938 he developed a way to electronically measure the size of a radio show's audience"
"toots","Nickname of New York City saloonkeeper and restauranteur Bernard Shor"
"burpeeseeds","W. Atlee sowed the seeds of this family's business with lettuce, and son David developed a new nasturtium"
"jacquelinecochran","The first woman to break the sound barrier, she also had her own cosmetics firm"
"algore","This current vice president served as an Army reporter during the Vietnam War"
"neilarmstrong","As commander of the Apollo 11 mission, he was the first man to set foot on the moon"
"annieoakley","This sharpshooter is the subject of the musical ""Annie Get Your Gun"
"johnnyweissmuller","The first person selected to the Intl. Swimming Hall of Fame, his last starring film role was in 1955's ""Devil Goddess"
"samuelmorse","This telegraph pioneer was also an artist who served as the first president of the Nat'l Academy of Design"
"earlwarren","In 1954 this chief justice wrote the opinion in the Brown v. Board of Education case"
"danielwebster","New Englander who concluded an 1830 Senate speech, ""Liberty and union, now and forever, one and inseparable"
