"cottonmather","This clergyman who wrote ""The Short History of New-England"" in 1694 was the son of Increase Mather"
"corleone","In 1605 Cervantes wrote about Don Quixote, and in 1969 Mario Puzo wrote about this Don"
"faulkner","American novelist and short story writer who created Yoknapatawpha County"
"misslonelyhearts","Title hero of Nathanael West's 1933 tale who ends up murdered by one of his correspondents"
"washingtonirving","While working at the U.S. embassy in Madrid, this Knickerbocker knocked out a Columbus bio"
"mobydick","Queequeg, a tattooed cannibal, is Starbuck's harpooner aboard the Pequod in this 1851 novel"
"maltesefalcon","This novel begins:  ""Samuel Spade's jaw was long and bony..."
"jungle","Upton Sinclair novel that ends:  ""Chicago will be ours!  Chicago will be ours!"
"myantonia","Novel in which Willa Cather wrote, ""The Shimerdas were the first Bohemian family"" in the area"
"arthurhaley","To research ""airport"", he spent hours in airports absorbing the atmosphere"
"emerson","Nature"", an essay by this transcendentalist, was published anonymously in 1836"
"beckythatcher","In ""Tom Sawyer"" this newcomer to St. Petersburg is described as ""a blue-eyed creature with yellow hair"
"tomsawyer","This title character in an 1876 novel asks, ""Does a boy get a chance to whitewash a fence every day?"
"mobydick","In this novel, Capt. Ahab says his men have been hired to ""chase that white whale on both sides of land"
"washingtonirving","He's the author whose work is presented here, with a little help from our friend Wishbone"
"nevermore","The one word uttered by Edgar Allan Poe's ""The Raven"
"mohicans","Sadly, in a James Fenimore Cooper novel Chingachgook was called ""The Last of"" this group"
"nathanielhawthorne","He first wrote about a woman doomed to wear the letter in his 1838 story ""Endicott and the Red Cross"
"williamstyron","This ""Sophie's Choice"" author set his 1st novel, ""Lie Down in Darkness"", in his native Virginia"
"myantonia","Book one of this Willa Cather novel is entitled ""The Shimerdas"
"hiawatha","In a Longfellow poem, Minnehaha marries this Indian hero"
"robertheinlein","In 1990 his ""Stranger in a Strange Land"" was reissued with 60,000 words that had been cut from the original"
"tortillaflat","John Steinbeck first came to prominence with this 1935 novel about a group of Mexican-Americans"
"fahrenheit","Reading is out as books go up in smoke in this Ray Bradbury classic"
"jungle","This Upton Sinclair expose of the meatpacking industry led to the passage of a Pure Food and Drug Act"
"nickcarraway","Daisy Buchanan's cousin, he narrates ""The Great Gatsby"
"beloved","Sethe, a former slave, is haunted by the ghost of her daughter, whom she killed, in this Toni Morrison novel"
"scarletletter","The title object of this 1850 novel is described as ""so fantastically embroidered and illuminated upon her bosom"
"jacklondon","Some of his stories of the Yukon were published in the 1910 collection ""Lost Face"
"ernesthemingway","A rum smuggler is the central character in his 1937 novel ""To Have and Have Not"
"larrymcmurtry","Horseman, Pass By"", the first novel by this Texan, was made into the movie ""Hud"" in 1963"
"absalomabsalom","This 1936 novel by Faulkner tells the story of Thomas Sutpen and bears the name of an Old Testament figure"
"susansontag","Her essays in ""Against Interpretation"" and ""On Photography"" call for an emotive response to creative works"
"pequod","At the end of ""Moby Dick"", this ship sinks and Ishmael is the lone survivor"
"johnsteinbeck","In a 1947 novelette, he told of a great pearl, how it was found and how it was lost again"
"carlsandburg","Part of this poet's autobiography was reprinted in 1955 as ""Prairie-Town Boy"
"ernesthemingway","His story, ""The Short Happy Life of Francis Macomber"", was first published in Cosmopolitan magazine in 1936"
"oldyeller","In Fred Gipson's novel, this ""colorful"" dog with one ear missing adopts a Texas frontier family in the 1860s"
"colorpurple","This story of 2 devoted sisters earned Alice Walker the 1983 Pulitzer Prize for Fiction"
"thomaswolfe","You Can't Go Home Again"" until you name this author who wrote it"
"motorcyclemaintenance","In 1991 Robert Pirsig published ""Lila"", a follow-up to his classic ""Zen and the Art of"" this"
"rabbit","In titles of novels by John Updike, it precedes ""Run"", ""is Rich"" and ""at Rest"
"richardwright","Published posthumously in 1977, ""American Hunger"" is a follow-up to his ""Black Boy"
"edithwharton","This ""Age of Innocence"" author made her debut in society in 1879"
"martinarrowsmith","This Sinclair Lewis doctor attempts to halt an epidemic on a West Indian island with his anti-bacterial serum"
"ralphellison","In the prologue of a 1952 novel, this author wrote, ""I am an invisible man"
"stephencrane","His ""Red Badge Of Courage"" first appeared in shortened form in the Philadelphia press"
"zanegrey","He had one of his western novels in the Top 10 list every year from 1917 to 1924"
"breathinglessons","This novel about love, marriage and regret earned Anne Tyler a 1989 Pulitzer Prize"
"salemmassachusetts","The House of the Seven Gables"" is set in this New England town, about 150 years after the Witch Trials"
"ijury","This first ""Mike Hammer"" novel is Mickey Spillane's top-selling paperback book"
"mainstreet","This 1920 Sinclair Lewis novel told the story of Carol Milford and Dr. Will Kennicott"
"ralphellison","Many consider his 1952 book ""Invisible Man"" the greatest post-war novel about black life in the U.S."
"natural","The title character of this Bernard Malamud novel is Roy Hobbs of the New York Knights"
"raggeddick","After he becomes wealthy, this Horatio Alger title character uses the name Richard Hunter, Esq."
"huckfinn","He complained to Tom Sawyer that the widow Douglas ""makes me wash"
"mobydick","Ishmael called him the incarnation of ""all the subtle demonisms of life and thought"
"sleepyhollow","Brom Bones tells the story of the Headless Horseman in ""The Legend of"" this place"
"whitefang","This Jack London title canine is tormented by one of his owners to make him savage enough to win dogfights"
"hermanmelville","His 1841-42 South Pacific voyage aboard the whaler Acushnet provided the basis for his most famous novel"
"hawthorne","Shortly after ""The House of the Seven Gables"", he wrote a book of classical myths, ""A Wonder Book for Girls and Boys"
"faulkner","A hard journey through Mississippi with a smelly corpse is the subject of his ""As I Lay Dying"
"elmergantry","An ex-football player who enters the ministry is the subject of this Sinclair Lewis novel"
"mrmoto","J.P. Marquand, who won a Pulitzer for ""The Late George Apley,"" created this Japanese spy/detective"
"horatioalger","Among his many books for boys are the Ragged Dick and Tattered Tom series"
"scarletletter","Novel in which Hawthorne wrote, ""On the breast of her gown, in fine red cloth,...appeared the letter A"
"aaronburr","This vice president is the title character of a 1973 novel by Gore Vidal"
"carlsandburg","He won a 1951 Pulitzer for his ""Complete Poems"" and one in 1940 for ""Abraham Lincoln: The War Years"
"tonimorrison","When featured on ""Oprah"", her 1977 novel ""Song of Solomon"" returned to the bestseller list in 1996"
"williamkennedy","Francis Phelan an ex-baseball player, is the main character in this author's ""Ironweed"
"tomsawyer","This character once asked Becky Thatcher, ""Do you love rats?"
"littlewomen","In this Louisa May Alcott novel, Jo March writes a play, ""The Witch's Curse"
"mobydick","The whaling ship in this classic novel had 3 harpooners: Tashtego, Daggoo and Queequeg"
"tonimorrison","Books by this Nobel Prize winner include ""Love"", ""Beloved"" and ""Tar Baby"
"myantonia","This Willa Cather novel is divided into 5 books, the first being ""The Shimerdas"
"natural","This first novel by Bernard Malamud is considered one of the best baseball books of all time"
"mississippi","Among the books set on this river were ""Mike FInk"", ""Tammy Out of Time"" and ""Huckleberry Finn"
"jamesmichner","The full title of his 1947 book was ""Tales of the South Pacific"
"kansas","Truman Capote's nonfiction novel ""In Cold Blood"" was written in an event that took place in this state"
