"eggs","You can't make a genuine tempera painting without breaking these"
"grantwood","This ""American Gothic"" painter operated the Stone City Art Colony to help younger artists"
"titian","In 1543 this Venetian traveled to Bologna to paint the portrait ""Pope Paul III Without Cap"
"paintbrush","The most delicate of these is made of only 150-200 sable hairs, weighing .000529 oz. altogether"
"india","The Mogul school introduced western perspective, not a Hollywood one, to art of this country"
"daguerreotypephotograph","From today painting is dead"", said a French artist upon seeing this type of picture in 1839"
"marycassatt","Highest price for painting by a female was $1.1 mil. for ""Reading Le Figaro"" by this U.S. artist"
"francoisi","In 1517, this French king and patron of Da Vinci orig. bought the ""Mona Lisa"" to hang in his bathroom"
"vangogh","In 1888 he painted his ""House at Arles"", his ""Bedroom at Arles"" and several still lifes of sunflowers"
"andywarhol","At a 1989 auction, this pop artist's ""Shot Red Marilyn"" sold for $4.07 million"
"spring","Of winter, spring, summer or fall, the alternate title of Botticelli's painting ""Primavera"
"cross","Noted Rubens works include the ""Raising of"" and ""Descent from"" this religious symbol"
"georgesegal","Like most of his works, this American sculptor's ""The Diner"" features figures cast from living models"
"grandmamoses","This beloved folk artist painted ""Look, It's A New Little Colt"" in 1945, when she was in her '80s"
"spring","The title of Botticelli's famous painting ""Primavera"" means this season of the year"
"benitomussolini","Peter Blume's 1930 painting ""The Eternal City"" depicts this fascist as a surreal green jack-in-the-box"
"claudemonet","This Frenchman finished his paintings of ""Poplars"" before he began his ""Water Lily"" murals"
"constantinbrancusi","From 1912 to 1933 this ""Bird In Space"" sculptor created a series of abstract busts of ""Mademoiselle Pogany"
"sistinechapel","El Greco told Pope Pius V he could improve this room by getting rid of Michelangelo's frescoes"
"hansholbein","Name shared by father and son 16th century German painters known as ""The Older"" and ""The Younger"
"jesus","He's the man in ""A Man of Sorrows""'s image"
"claudemonet","His 1872 work ""Impression Sunrise"" not only left an impression, but named a whole movement"
"cubism","This style of Picasso and Braque was broken into 2 phases, analytic and synthetic"
"jacksonpollock","He poured and splattered paint onto the canvas to make his ""Autumn Rhythm:  Number 30, 1950"
"hansholbein","This ""Younger"" German's 1540 portrait of England's Henry VIII is in Rome's Galleria Nazionale"
"andywarhol","100 Soup Cans"
"pablopicasso","Guernica"
"claudemonet","Water Lilies"
"david","Michelangelo spent 3 years, 1501-4, sculpting this Goliath-size statue"
"engraving","This art practiced by William Blake precedes ""Printing"" in the name of a U.S. bureau"
"action","To film Jackson Pollock at work, you'd say, ""Lights!  Camera!"" this type of painting"
"keane","Last name of former husband and wife Walter and Margaret, known for painting large-eyed waifs"
"diegorivera","In 1922 he painted his 1st major mural, ""Creation"", at the National Preparatory School in Mexico City"
"medicis","Botticelli featured members of this prominent family in his ""Adoration of the Magi"
"stabiles","It's what Alexander Calder called his stationary sculptures"
"franciscogoya","You can see his ""Majas on a Balcony"" at the Metropolitan Museum of Art"
"christo","In 1983 he skirted 11 islands in Biscayne Bay with sheets of pink plastic"
"china","The artists known as The Four Wangs rose to prominence under this country's Ch'ing Dynasty"
"louvre","Delacroix' dramatic historical painting of the ""Massacre At Chios"" is in this Paris museum"
"round","It's the shape of a tondo, a type of painting popular in the 15th century"
"salvadordali","Once a cubist, this Spaniard from Figueras turned to surrealism after going to Paris in 1928"
"abstract","This word that often precedes expressionism is derived from the Latin for ""drawn off"" or ""drawn away"
"caricatures","As a youngster, Claude Monet did these exaggerated portraits popular with today's street artists"
"monalisa","The Portrait of a Lady on a Balcony"" done around 1504-14 and hanging in the Louvre is better known as this"
"oils","The Van Eyck bros. weren't the 1st to use these paints, though sometimes creditied with it; they date back much earlier"
"salome","Gustave Moreau was well known as a painter of this Biblical dancer"
"asnowstorm","As it's what J.M.W. Turner did best, ""Hannibal and His Army Crossing the Alps"" is set during one of these"
"yokoono","A recent show of her works at the Whitney Museum included bronzes of her art made before she was Mrs. John Lennon"
"rembrandt","Back in 1961 his ""Aristotle Contemplating the Bust of Homer"" brought a record price of $2.3 million"
"stabiles","Jean Arp coined this term to describe the non-mobile works of Alexander Calder"
"saturn","One of Goya's works depicts this father of Jupiter ""devouring his children"
"georgespompidou","Also known as ""Beaubourg"", the Paris Center for the Contemporary Art is named after this French president"
"rembrandt","Grime darkened the daytime setting of this artist's work, causing it to be misnamed ""The Night Watch"
"titian","This Venetian master was born Tiziano Vecellio"
"toulouselautrec","This French impressionist's 1893 ""Trapeze Artist At The Medrano Circus"" was painted on cardboard"
"marcchagall","While serving as art director of the Moscow State Jewish Theater, he painted murals and designed sets"
"renaissance","Giotto's realistic technique revolutionized painting and was a strong influence on this art era of the 1400s"
"australia","One exhibit at this country's 1982 Sydney biennial was the creation of the largest indoor sand painting"
"black","Hard to tell, but Frans Hals is said to have used 27 different shades of this--look at the garb of ""Adriaen Van Ostade"
"dianearbus","Revelations "", an exhibit of her photos of '50s and '60s weirdos, has been seen in San Francisco, L.A. and New York"
"ceiling","The part of the Sistine Chapel on which Michelangelo painted Adam's fall"
"sigmundfreud","Beds and couches are common props in the paintings of this psychoanalyst's grandson Lucian"
"paulrevere","One of the few portraits of colonial craftsmen is Copley's painting of this silversmith"
"currierives","They were first partnered in 1857; their sons carried on the print firm until 1907"
"grantwood","The book ""Iowans of Impact"" calls him ""Anamosa's famous artist"
"opart","Modern movement that is named for the optical illusions created by its geometric patterns"
"calligraphy","Greek for ""beautiful writing"", it's the art of beautiful handwriting"
"sistinechapel","Building in which you'd find Michelangelo's masterpiece ""The Creation of Man"
"prado","You can see ""The Maid of Honor"" by Velazquez in this Madrid museum"
"halos","Medieval artists gave triangular ones to the trinity, round to the angels and rectangular to living holy people"
"rembrandt","Originally full of light and color, his 1642 work was so darkened by grime and smoke it's now called ""The Night Watch"
"claudemonet","Artist who was the initiator and leader of the impressionist movement; he's famous for his haystacks"
"dadadadaism","This nihilistic movement in the arts is named for a French word for hobby horse"
"moon","Romantic painters liked nighttime, as in Friedrich's 1822 canvas showing this rising over the sea"
"mosaics","The Byzantines kept busy making these, in which small pieces form big pictures on floors, walls and ceilings"
"arelief","A woodcut is this raised type of printing, also a kind of map"
"popart","This movement began in 1950s Britain, but it's based on American mass media and advertising images"
"busts","Around 1450, with big commissions drying up, sculptors turned to these head-and-shoulders portrait pieces"
"williamhogarth","This ""Rake's Progress"" satirist was a British patriot, as seen in his 1748 work ""O the Roast Beef of Old England"
"nile","Coptic art, which developed in this river valley, was inspired by the Hellenistic style of Alexandria"
"wax","Encaustic painting, practiced by the ancient Greeks, uses this melted insect substance as a binder"
"diegorivera","This muralist was only 10 when he began studying at Mexico City's Academy of San Carlos"
"canaletto","Giovanni Antonio Canal was the real name of this artist known for his paintings of Venice"
"henrymoore","The Bronze Family Group sculpted by this Englishman in the 1940s is in the Museum of Modern Art"
"jameswhistler","This artist's mother could have told you he was greatly influenced by French painter Gustave Courbet"
"fresco","This kind of painting on plaster was a speciality of 15th c. artist Piero della Francesca"
"franciscogoya","This Spaniard's brother-in-law, court painter Francisco Bayeu, helped him get commissions in the 1770s"
"williamhogarth","Strolling Actresses Dressing In a Barn"" is a 1738 engraving by this English satirist"
"caricature","It's the 4-syllable term for a satirical portrait that exaggerates or distorts a person's features"
"watercolor","Gouache is a type of this painting technique; its name comes from guazzo, Italian for ""puddle"
"elginmarbles","Now in the British Museum, the sculptures known as these marbles once adorned the Parthenon"
"augusterodin","This great French sculptor sculpted ""The   Kiss"" in 1886"
"grapes","Legend says that ancient Greek Zeuxis painted a bunch of these so realistically, birds tried to eat them"
"calais","In 1884 Rodin was commissioned to create a monument to ""The Burghers of"" this French seaport"
"winslowhomer","A seascape by this American artist is seen here"
"pointilism","Disciple Paul Signac helped Georges Seurat develop this signature painting technique"
"pastels","These colored chalklike sticks are made with a pigment and a weak adhesive such as gum tragacanth"
"michelangelo","In 1546 Pope Paul III appointed this artist architect of St. Peter's Basilica"
"fresco","The final layer of plaster prepared for this type of wall painting is called intonaco"
"americangothic","In 1930 Grant Wood's reputation was established by a Chicago showing of this painting"
"marycassatt","She was commissioned to paint a mural for the woman's building at the 1893 Columbian Exposition"
"lastsupper","The Italian name of this 15th century masterpiece is ""L'Ultima Cena"
"italy","The Renaissance began in this country"
"americanflag","A furor erupted over a student exhibit in Chicago when 1 of these was placed on the floor"
"vermeer","His art sold well, but this Delft painter produced few works and died broke"
"andrewwyeth","Painter known for his portrayal of a polio victim named Christina Olson"
"claudemonet","At his home in Giverny, this artist created the water lily pond that inspired his paintings"
"gothic","Renaissance writers gave medieval architecture this barbarian name because they thought it ugly"
"abstractexpressionism","The roots of this kind of ""expressionism"" are seen in the works of Wassily Kandinsky"
"popart","Fathers of this modern style include Claes Oldenburg, George Segal and Roy Lichtenstein"
"sphere","Cezanne said, ""Treat nature in terms of the cylinder,"" this shape and ""the cone, all in perspective"
"salvadordali","This 20th century Spanish artist called his works ""Hand-painted dream photographs"
"moorish","Term for Spain's Islamic art, it comes from the Muslim group that conquered the country in the eighth century"
"florence","The starting point and center of early Renaissance art was in this Italian city"
"rijksmuseum","Many Rembrandt masterpieces hang in this ""national museum"" in Amsterdam"
"landscapes","John Constable is best known for painting these"
"wassilykandinsky","With works titled ""White LIne"" and ""Blue Segment"", this Russian has been called the first abstract painter"
"perspective","This technique, from Latin for ""to look through"", began in Western painting in works like the one seen here"
"cubism","In his ""Homage to Picasso"", Spanish artist Juan Gris tried his hand at this movement"
"wax","Batik is painting on cloth to which this substance has been applied"
"petergreat","In 1766 Etienne-Maurice Falconet was called to Russia to make a huge equestrian sculpture of this man"
"michelangelo","He said he painted one his masterpieces with his ""beard turned up to heaven"
"pablopicasso","Utrillo's ""White Period"" lasted circa 1908-1914, longer than this artist's ""Rose Period"" from 1904-1906"
"paulgauguin","In 1892 he painted ""Vahine No Te Vi.  Woman With Mango"
"stilllife","It's the common English term for the type of painting the French call une nature morte"
"toulouselautrec","Dancer Louise Weber, one of his most famous subjects, was known as ""La Goulue"" -- The Glutton"
"renemagritte","Hats off to this Belgian whose 1926 painting ""The Menaced Assassin"" features men in bowler hats"
"acanvas","It can mean the closely woven durable cloth on which oil paintings are made or refer to the painting itself"
"johnconstable","In Britain the last name of this British painter (1776-1837) means ""police officer"
"renemagritte","This Belgian artist's painting ""Threatening Weather"" includes a cloud shaped like a tuba"
"rococo","The name of this heavily decorated and frothy 18th century style was coined by Maurice Quai as a term of ridicule"
"grandmamoses","Appropriately, this grandmother of American folk art painted ""Over the River to Grandma's House"
"thomasgainsborough","This Englishman painted a ""Girl with Pigs"" as well as ""The Blue Boy"
"woodpanel","The Mona Lisa was painted in oil on this, not canvas"
"civilwar","Winslow Homer's ""Prisoners from the Front"" is a scene from this war"
"pablopicasso","On May 9, 1989 a self-portrait by this artist went for a whopping $47.85 million"
"fauvismfauves","Meaning ""like a wild beast"", it's the art movement associated with Matisse"
"fragonard","(VIDEO DAILY DOUBLE):<br />Artist whose most famous painting, seen here (""The Swing""), is an example of the Rococo style:"
"michelangelo","He snuck a self-portrait into his ""The Last Judgment"" fresco in the Sistine Chapel"
"lautrec","At the Moulin Rouge"" took this French artist to new heights of fame"
"salvadordali","Melted watches dot the landscape in this Spaniard's ""The Persistence of Memory"
"sandrobotticelli","You have to have a big wall for his circa 1480 work ""The Birth of Venus""; it's over 5' X 9"
"jacksonpollock","This drip artist was born in Cody, Wyoming in 1912"
"georgesseurat","He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp"
"augusterodin","His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo"
"henrymoore","You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis"
"pollock","In 1956 Time magazine dubbed this abstract expressionist ""Jack the Dripper"
"janvermeer","This Dutch master served as chairman of the Delft Artists' Guild from 1662-63 and 1670-71"
"watercolor","Aquarelle is a transparent, rather than opaque, type of this painting, as seen in Paul Klee's work ""Quarry"
"salvadordali","Andre Breton anagrammed this surrealist's name as ""Avida Dollars"
"marycassatt","This American female impressionist modeled for many of Degas' works, including ""At the Milliner's"
"michelangelo","Upon completing the ceiling of the Sistine Chapel in 1512, he wrote to his father, ""The pope is well satisfied"
"andywarhol","This pop artist's studio was known as ""The Factory"
"andrewwyeth","In 1963 this ""Christina's World"" artist became the first painter to receive the Presidential Medal of Freedom"
"paulgauguin","He painted ""Tahitian Women"" shortly after arriving on that island in 1891"
"winslowhomer","On September 29, 1910, this painter known for his seascapes died in his studio in Prouts Neck, Maine"
"scallopshell","In Botticelli's ""Birth of Venus"", Venus is standing on this"
"watercolor","This style of painting is characterized by broad transparent areas of paint called washes"
"thomasgainsborough","In the 1740s this ""Blue Boy"" painter worked as a restorer of paintings for art dealers"
"whaam","A caption on this famous Lichtenstein painting reads in part, ""...ahead of me rockets blazed through the sky"
"titian","In 1516 he succeeded Giovanni Bellini as state painter of the government of Venice"
"janvermeer","This Dutch painter, a member of the Delft Guild, had a total output of only about 40 pictures (one with a pearl)"
"medusa","Gericault's most famous work, ""The Raft of"" this ship, was based on a historic event and caused a political scandal"
"americangothic","This American masterpiece has been widely satirized; the sign of a true classic"
"augusterodin","A Philadelphia museum devoted to this ""Thinker"" sculptor has a bronze cast of his ""Burghers of Calais"
"anseladams","His collections include ""My Camera in Yosemite Valley"" and ""Portfolio Two: The National Parks"
"claudemonet","He was nearly blind when he painted his series of ""Water Lilies"
"blueboy","Seen here, he's the most famous occupant at California's Huntington Library"
"astaircase","Marcel Duchamp's most famous painting is ""Nude Descending"" this"
"edvardmunch","His ""Vampire"" painting from 1893 just might make you ""Scream"
"marycassatt","Four of her works, including the one seen here, were recently featured on U.S. stamps"
"impressionism","Gauguin collected art by painters of this movement, like Pissarro and Monet and exhibited with them from 1880 to 1882"
"renemagritte","This Belgian surrealist painted a pipe and the words ""Ceci n'est pas une pipe"" (""This is not a pipe"")"
"marycassatt","Around 1884 Edgar Degas painted the portrait seen here of this fellow impressionist"
"venice","Canaletto was noted for his vedute, or views, of this canal city, his birthplace"
"ophelia","(VIDEO DAILY DOUBLE): Sir John Everett Millais painted an 1852 portrait of this Shakespearean heroine, seen here"
"normanrockwell","On a Saturday evening you might want to read his 1960 autobiography ""My Adventures As An Illustrator"
"vienna","Gustav Klimt was a founding member and first president of this Austrian city's Sezession movement"
"franciscogoya","The Prado boasts a fine portrait of 18th century artist Francisco Bayeu by this Spaniard, his brother-in-law"
"michelangelo","In 1501 he was commissioned to make a statue of David for the cathedral of Florence"
"salvadordal","Figueres, Spain and St. Petersburg, Florida have museums devoted to this Surrealist"
"andywarhol","In 1968 Valerie Solanas shot this pop artist; at one point he was declared clinically dead, but he survived"
"raphael","Sanzio is the last name of this master of the Italian High Renaissance known for his Madonnas"
"michelangelo","He was in his 20's when he sculpted the ""Pieta"", now in St. Peter's Basilica"
"paulgauguin","He painted tropical landscapes on Martinique before he moved to Tahiti"
"edgardegas","This Frenchman painted many portraits of ballet dancers including ""Dancer With a Fan"" in 1879"
"diegovelasquez","This Spanish court artist's 1620s painting ""Los Borachos"" or ""The Drinkers"" is in the Prado"
"rembrandt","This Dutchman's brother Adrian may have been the model for his ""The Man With the Golden Helmet"
"louvre","Around 1850, you could find Eugene Delacroix painting the ceiling of this French museum's Salon d'Apollon"
"pablopicasso","This Spaniard painted some dreary-looking clowns during his Blue and Rose Periods in the early 1900s"
"edgardegas","Maybe it's just me, but I'd rather look at his ballerinas than the ""Two Laundresses"" he drew in the 1880s"
"paulgauguin","His pictures of Tahitian women with spirits include ""Manao Tupapau (The Specter Watches Over Her)"
"grantwood","This ""American Gothic"" artist was an asst. professor of fine arts at the Univ. of Iowa in 1934"
"roylichtenstein","Known for such works as ""Blam!"", he drew maps for the U.S. Army in Europe during WWII"
"diegorivera","This muralist's birthplace in Guanajuato, Mexico is now a museum devoted to him"
"ashcanschool","The group led by Robert Henri and known as The Eight later became known as this ""school"
"monalisa","Marcel Duchamp's ""L.H.O.O.Q."" put a mustache and goatee on a postcard reproduction of this masterpiece"
"busts","Charles Despiau is best known for these head-and-shoulders sculpted portraits"
"abstract","In art class, ""A"" is for this style of art that doesn't represent objects"
"spiritof","For this revolutionary image, Archibald Willard originally showed the 3 musicians in a July 4th parade"
"salvadordali","This Spanish surrealist collaborated on 2 films with Luis Bunuel, ""Un Chien Andalou"" and ""L'Age D'Or"
"moulinrouge","Toulouse-Lautrec's 1892 painting ""At"" this music hall features portraits of himself, his cousin and other patrons"
"paulgauguin","This Frenchman considered ""Where Do We Come From?  What Are We?  Where Are We Going?"" to be his ""Best Canvas"
"marcchagall","This Russian-born artist designed the stained glass windows for Jerusalem's Hadassah-Hebrew Medical Center"
"potatoeaters","In this work, Van Gogh captured the misery of a family gathered around a table dining only on a plate of spuds"
"augusterodin","This ""Thinker"" sculptor was denied admission to the School of Fine Arts in Paris 3 times"
"franciscogoya","This Spaniard included Velazquez's ""Las Meninas"" in his ""Family of Charles IV"" seen here"
"marcchagall","His 1911 oil painting ""I And The Village"" depicted scenes of life in his native Vitebsk, Russia"
"artnouveau","The name of this art style is derived from a Paris shop opened in the 1890s by dealer Siegfried Bing"
"grandmamoses","She began painting in 1938 at age 78; a year later her landscapes were exhibited at NYC's Museum of Modern Art"
"nightwatch","(Cheryl of the Clue Crew in Amsterdam at Rembrandt's house) Under a lean-to in this courtyard, Rembrandt painted 1642's ""Sortie of a Company of Captain Banning Cocq"", also known as this"
"titian","This Venetian put St. Peter, not Mary and Jesus, at the center of his ""Madonna of the Pesaro Family"
"janvermeer","2 of this artist's most famous landscapes, ""View of Delft"" and ""Street in Delft"", are scenes from his hometown"
"napoleonbonaparte","He commisioned Jacques-Louis David to paint his 1804 imperial coronation"
"sanchopanza","Honore Daumier created several works portraying Don Quixote and this squire"
"edvardmunch","He painted ""Vampire"" in 1893, the same year he painted ""The Scream"
"henrirousseau","Unpleasant Surprise"" by this primitive painter of ""The Hungry Lion"" shows a woman menaced by a bear"
"marycassatt","This American woman impressionist posed for several of Degas' works, including ""At The Milliner's"
"andywarhol","This pop artist and filmmaker appeared on the television program ""The Love Boat"
"salvadordal","In the late '30s this Spaniard began painting in a more academic style and was expelled by the Surrealists"
"winslowhomer","Inside the Bar, Tynemouth"" shows this Maine-based artist's mastery of the watercolor medium"
"malta","After assaulting a fellow knight, Caravaggio fled this island"
"bauhaus","Wassily Kandinsky joined Gropius at this design school in 1922 and remained there until 1933"
"blueboy","Jonathan Buttall is the young man in this ""colorful"" work by Thomas Gainsborough"
"claudemonet","Impressionism got its name thanks to his painting ""Impression: Sunrise"
"titian","A reddish-brown color is named for this Venetian artist who used the color frequently in his paintings"
"alexandergreat","This 4th century B.C. conqueror was said to let no one but the sculptor Lysippus do his portrait"
"raphael","This single-named Renaissance artist who died in 1520 was regarded in the 19th century as the greatest painter ever"
"diegovelasquez","For 37 years, 1623 to 1660, he painted Philip IV of Spain and his family, court and jesters"
"abstractexpressionism","Elaine de Kooning, Willem's painter wife, wrote ""The Spirit of"" this 2-word art movement of the 1940s and '50s"
"thames","From 1899-1904 Claude Monet created a series of paintings of this English river"
"lafayette","Samuel Morse's 1825 painting of this marquis is one of the finest American romantic portraits"
"caravaggio","Manfredi, Saraceni, and other followers of this artist were known as the Caravaggisti"
"milan","In 1482 Leonardo Da Vinci moved to this city to become its court artist to Ludovico Sforza"
"modigliani","This Italian painted a characteristically elongated self-portrait in 1919, shortly before his death"
"michelangelo","In the 1550s this artist and sculptor was architect for the Palazzo Farnese"
"henri","First name shared by French artists Toulouse-Lautrec and Matisse"
"diegorivera","Out of favor with the leftists in Mexico, he created murals in the U.S., like one in the Detroit Inst. of Arts"
"johnconstable","The Hay Wain"" helped this British landscape artist win a gold medal at the Paris Salon of 1824"
"michelangelo","This ""Pieta"" sculptor's statue of Bacchus is in the Bargello in Florence"
"paulgauguin","Parisian who painted the distinctly non-Parisian work seen here"
"claudemonet","In 1895 this impressionist finished his famous series of paintings of Rouen Cathedral"
"paulgauguin","In October 1888 this painter joined Van Gogh in Arles; he fled after that ugly ear incident"
"henrimatisse","The Dance"", also the title of the work seen here, was one of this artist's favorite scenes"
"claudemonet","In November 1998 the Getty Museum bought his seminal 1870s painting ""Impression: Sunrise"
"diegovelazquez","This 17th century Spaniard created the intriguing and complex portrait seen here<br />(""Las Meninas"")"
"thomasgainesborough","The influence of Van Dyck can be seen in his ""Blue Boy"" and other works"
"moscow","Ilya Yefimovich Repin's ""Ivan The Terrible With The Body Of His Son"" is in this city's Tretyakov Gallery"
"delft","Carel Fabritius, Rembrandt's finest student, died in a 1654 explosion in this Dutch pottery city"
"lastsupper","Veronese's and Tintoretto's versions of this Biblical meal each depict a dog"
"stilllife","This term for a painting of inanimate objects is from the Dutch ""stilleven"
"napoleon","Antonio Canova's nude ""Mars the Peacemaker"" statue wasn't liked by its subject, this French emperor"
"arachne","The Spinners"" by Diego Velazquez is based on this mythical spinner"
"venice","In the 1700s many visitors to this Italian city bought Canaleto's paintings of its canals"
"henryeighth","In 1553 Hans Holbein the Younger painted the French ambassadors to this English king's court"
"gauguin","Take a look at the monitor players: French ex-patriate who painted the following in 1896"
"mexicocity","Diego Rivera created a mural called ""Creation"" for the National Preparatory School in this capital city"
"tintoretto","Jacopo Robusti became known by this name because his father was a dyer, or tintore"
"marilynmonroe","She's the subject of Andy Warhol's 1962 ""Marilyn Diptych"
"thomasgainsborough","An X-ray of his ""Blue Boy"" has revealed the figure of a small dog that was painted out"
"sistinechapel","In 1481 Botticelli led a group of painters in frescoing this newly erected Vatican chapel"
"franciscogoya","His portrait of the Duchess of Alba in a Maja costume is at NYC's Hispanic Society of America"
"salvadordali","This Spaniard painted religious works like the ""Madonna of Port-Lligat"" and those famous melting watches"
"toulouselautrec","In 1892 this French artist painted the nightclub waltzers seen here:"
"louisxv","Francois Boucher, known for his portraits of Mme. de Pompadour, was named first painter to this king in 1765"
"peaceablekingdom","This famous series of paintings by Edward Hicks depicts animals living together in peace and harmony"
