"anequinox","A crossing of the celestial equator by the sun, it happens twice a year"
"mars","In a 1908 book, Percival Lowell proposed that the markings on this planet were irrigation canals"
"acomet","As they approach the sun, some of these develop tails as long as 100 million miles"
"asupernova","The Crab Nebula was formed by one of these massive exploding stars in 1054"
"sirius","The Pup, the 1st white dwarf to be discovered, is the lesser component of this dog star"
"uranus","A large amount of methane in this 7th planet's atmosphere causes it to appear bluish-green"
"mars","A seismometer aboard the Viking 2 lander failed to detect any quakes on this red planet"
"asteroids","The total mass of these minor planets in the solar system is less than that of our moon"
"galileo","In 1610 he published his discovery of 4 moons of Jupiter in ""The Starry Messenger"
"tychobrahe","In 1572 this Danish astronomer discovered a supernova in the constellation Cassiopeia"
"meteorshowers","Famous ones of these include the Perseids in August and the Leonids in November"
"solareclipse","Event seen here:<br />(moon blocking sun)"
"extraterrestrialintelligence","The acronym SETI stands for the Search for this"
"uranus","It was the first planet discovered with a telescope"
"andromeda","This closest galaxy to our own is named for an Ethiopian princess in Greek myth"
"mars","After Earth, it's the planet whose day is closest to 24 hours long"
"mercury","It orbits the sun at an average distance of .3871 astronomical units, the lowest average of all the planets"
"mars","As can be seen thru a telescope, the sizes of this red planet's polar ice caps change with the seasons"
"neptune","17 days after this planet was discovered in 1846, William Lassell found one of its satellites, Triton"
"solarwind","Streaming out of coronal holes, it causes comet tails to point away from the sun"
"io","Its twisting back and forth as it orbits Jupiter generates heat and drives its volcanoes"
"galileo","When he found Venus had phases like the moon, he cautiously announced it in the form of an anagram"
"galileo","He discovered the four largest moons of Jupiter in 1610"
"ursamajor","It's thought Egyptians used this Big Dipper constellation to set compass bearings of the pyramids"
"titan","This giant moon of Saturn is larger than the planet Mercury"
"betelgeuse","The name of this star in Orion is from the Arabic for ""the giant's armpit"
"charlesmessier","18th century Frenchman whose catalogue of fuzzy objects given M-numbers is still used today"
"asteroids","Among the most distant of these, the Trojan Group actually travels in the same orbit as Jupiter"
"neptune","From 1979 to 1999 it was the planet in our solar system farthest from the sun"
"quasars","Black holes are thought to ""power"" these remote objects named for their resemblance to stars"
"mercury","This planet closest to the sun features a crater, the Caloris basin, which is about the size of Texas"
"neptune","Triton, this planet's largest satellite, has a surface temperature of about -390 degrees F."
"comets","Meteors, also known as shooting stars, may be debris left by these icy bodies traveling around the sun"
"gerardkuiper","Part of this astronomer's ""belt"" theory says small chunks of matter are the building blocks of planets"
"comets","These objects with comas and tails can be named for up to 3 independent co-discoverers"
"jupiter","Of the 9 planets, only Mars and Venus can appear brighter in the sky than this largest one"
"crabnebula","This famous nebula is the remnant of a supernova observed in 1054"
"apogee","This is defined as the position in a satellite's orbit when it's most distant from the Earth"
"gerardmercator","This 16th C. Flemish cartographer also made a star globe showing the constellations"
"jupiter","Any point on the Earth's equator moves at a thousand miles per hour; any point on this largest planet's, at 22,000 miles per hour"
"venus","The Maxwell Montes region contains the highest point on this planet, the third brightest object in the sky"
"corona","During a total eclipse of the sun, this outermost layer of the sun remains visible"
"greenwich","This British observatory was completed in 1676 from plans prepared by Christopher Wren"
"orion","This constellation, ""The Hunter"", is found between Taurus, the bull, and Monoceros, the unicorn"
"blackhole","With a mass of 4.31 millions Suns, Sagittarius A* is thought to be a supermassive one of these in the Milky Way's center"
"newmoon","This totally darkened phase of the Moon occurs when the Moon is between the Sun and the Earth"
"galileo","In August 1609 he demonstrated his newly constructed telescope to the senate of Venice, who then doubled his salary"
"aneclipse","When ""shadow bands"" are seen on Earth, it means this is about to happen up in the heavens"
"orion","The name of Mintaka, a star in this constellation, is from the Arabic for 'belt"
"hubbletelescope","During the course of 5 spacewalks in May 2009, Shuttle astronauts made repairs to this and installed 2 new instruments"
"saturn","In 1980 the Voyager spacecraft found that this planet's B ring had radial features called spokes"
"orion","This constellation is the site of 2 nebulae: the Great Nebula in its sword and the Horsehead Nebula in its belt"
"mtpalomar","The 200-inch mirror of the Hale Telescope on this California peak took some 10 months to cool after casting"
"cancer","Representing a crab, it's the faintest of all the Zodiac's constellations"
"galaxies","Hubble studies indicate that these star systems, like the Milky Way, may total 50 billion"
"crater","Tycho, one of these on the moon, can be seen without a telescope"
"comet","One of these discovered by Giovanni Donati in 1858 has a tail about 45 million miles long"
"cygnus","Deneb, a star of the first magnitude, marks the tail of the swan in this constellation"
"jupiter","In 1610 Galileo called the moons of this planet the ""Medician stars"", for the Medici brothers"
"sun","In 1672 Giovanni Cassini determined the distance from the Earth to this, creating a new measuring unit, the Au"
"light","In 1679 Danish astronomer Ole Romer was the first to figure out the speed of this"
"solstice","Term for the astronomical event that heralds the beginning of summer"
"ursamajor","To an astronomer UMa is an abbreviation for this constellation"
"williamherschel","A large crater on Saturn's moon Mimas is named for the British astronomer who discovered the moon in 1789"
"northstar","2 stars in the bowl of the Big Dipper, called The Pointers, point to this star"
"comets","Some scientists say thousands of these, known as ""dirty snowballs"", strike our atmosphere every day"
"agalaxy","Unlike the spiral type, like ours, the elliptical type of this system has little gas and rather dim stars"
"asteroids","Most of these minor planets revolve around the sun in a ""belt"" between the orbits of Mars and Jupiter"
"saturn","Titan is the largest moon of this planet; Calypso and Telesto are among the smallest"
"hubble","In 1996 this space telescope returned the first-ever images of Pluto's surface"
"leo","Each November debris from Comet Temple-Tuttle produces a meteor shower that streams across this lion"
"triton","This largest moon of Neptune has active volcanoes that spew crystals of nitrogen as high as 6 miles above the surface"
"galaxies","Pumping out energy, quasars are one type of object described as the active nuclei of these vast structures"
"saturn","Its ""A"" ring is a little over 9,000 miles wide"
"moon","Its perigee, the closest it can come to Earth, is 221,456 miles"
"venus","The lowest point on this heavenly body is the Diana Chasma, a rift valley"
"xray","The Chandra Orbiting Telescope takes this kind of photo; hey, maybe we can see Pluto in its underwear!"
"blackhole","In 1986 astronomers found a massive one of these at the center of the Milky Way galaxy"
"asteroids","These objects, aka minor planets, range in size from about 20 feet in diameter to around 485 miles in diameter"
"southerncross","Seen mostly in the Southern Hemisphere, Crux, the smallest constellation, is also known by this name"
"cassinidivision","Named for an astronomer, this dark ""division"" that separates Saturn's A and B rings is 2,920 miles wide"
"francisbaily","Known for his ""beads"", he created the Royal Astronomical Society's Star Catalog in the 1820s"
"meteors","The Geminids is an important winter shower of these"
"mercury","The midday forecast for this planet is 750 degrees Fahrenheit and sunny"
"solareclipse","One of these is annualar if a ring of the photosphere remains visible"
"neptune","Voyager II discovered six more moons around this planet; one is bigger than the previously known Nereid"
"asteroid","Sir William Herschel coined this word in 1802 writing, ""They resemble small stars so much..."
"astar","Self-luminous gaseous body, or hollywood ""celeb"
"venus","The evening or morning ""star"" is really this planet"
"saturn","Planet once thought unique, it no longer runs ""rings"" around its neighbors"
"sputnik","Launched Oct. 4th, 1957, it was Earth's 1st artificial satellite"
"mars","Only planet to have seasons similar to Earth's"
"taurus","A galactic cluster known as the Pleiades is in this constellation known as ""The Bull"
"jupiter","In 1610 Galileo became the first to find other moons when he saw moons orbiting this giant planet"
"edmondhalley","In 1705 this English astronomer predicted the 1758 return of the comet now named for him"
"pluto","In 1905 Percival Lowell began a search for this planet, which was discovered in 1930, 14 years after his death"
"polaris","Around 2700 B.C. Thuban was the North Star; today, this is the North Star"
"components","The constituent members of a multistar system, or the constituent members of a stereo system"
"inch","A 100-inch telescope collects 10,000 times more light than a telescope with a mirror this size"
"hydrogen","A red giant star has exhausted all of this element used as fuel in its core"
"venusearth","Among planets in our solar system whose size is known, these 2 are closest in diameter"
"comets","Latin for ""hairy star"", recent ones have included Hyakutake and Shoemaker-Levy"
"blackhole","Predicted as early as 1784, this body is so dense that light can't escape its gravitational pull"
"scorpio","Constellation seen here:"
"centaurus","The closest star to our solar system lies in this southern constellation"
"jupiter","In 1979 Voyagers 1 and 2 transmitted detailed photos of Io, Ganymede, Europa and Callisto -- moons of this planet"
"sagittarius","To Northern observers, the most brilliant part of the Milky Way is found in ""the Archer"", this constellation"
"mercury","With the demotion of Pluto, it's now the smallest, least massive planet"
"immanuelkant","This ""Critique of Pure Reason"" author called some fuzzy objects ""island universes"" in 1775; he was right"
"tychobrahe","The constellation Coma Berenices, or ""Berenice's Hair"", was given its exact form by this Dane in the 1500s"
"pluto","On February 11, 1999 it again became the farthest planet from the sun and will remain so for 248 years"
"orion","Alnilam, Alnitak and Mintaka are the 3 stars of this constellation's belt"
"comets","Among these objects, Encke's has an orbital period of 3.3 years; Tago-Sato-Kosaka, 420,000 years"
"radiotelescope","In 1937 in Wheaton, Illinois, Grote Reber built the first one of these telescopes using a parabolic dish"
"ptolemy","This Alexandrian astronomer discusses eclipses in book VI of his 2nd century work ""Almagest"
"mercury","At 88 days, it has the shortest orbital period of the planets"
"geminitwins","It's the constellation that contains the stars Castor and Pollux"
"sirius","Also called The Dog Star, it's the brightest star in the night sky"
"arabic","The names of Deneb, Rigel and Betelgeuse came from this language"
"charon","The diameter of this satellite of Pluto is just over half that of Pluto"
"taurus","The Crab Nebula, first observed in 1054 A.D., can be found in this constellation, and that's no bull"
"aspiral","The Milky Way is classified as this type of galaxy, due to its coiled arms, not a staircase"
"mtpalomar","Until 1974, the 200-inch Hale Telescope on this California mountain was the world's largest reflector"
"galileo","This Italian spent his last 8 years under house arrest for teaching... shh! the Earth goes around the sun!"
"solarwind","By the time this flow of gasses from the sun reaches Earth, its speed may be 1-2 million mph; what a blowhard!"
"zodiac","Collective name for the 12 constellations that form the backdrop to the sun's apparent path"
"puck","This moon that orbits Uranus in 18 hrs. was named for a Shakespeare character who can circle the Earth in 40 min."
"eros","On Valentine's Day 2000, the Near spacecraft is due to begin orbiting this asteroid named for the Greek god of love"
"gemini","One of the more impressive meteor showers comes in December from this constellation of the twins"
"jupiter","In 1994 fragments of Shoemaker-Levy 9 struck this planet, creating a plume over 1,000 miles high"
"arizona","The solar observatory at Kitt Peak in this Southwestern state focuses on spectroscopy"
"johanneskepler","According to one of this German's laws of motion, planets travel faster when they are closer to the sun"
"milkyway","All the stars you can see with the naked eye are part of this galaxy"
"mars","A camera orbiting this planet in March 1999 snapped a crater that resembles a ""happy face"
"bluemoon","Sky and Telescope magazine erred 53 years ago; it's the fourth full moon in a season, not the second in a month"
"blackholes","In 1967 what were called ""Schwarzschild Singularities"" were renamed this"
