"shogun","In 1867 the last of these Japanese military directors was forced to resign"
"stuarts","In 1745 Bonnie Prince Charlie tried to regain the British throne for this ruling family"
"poland","In 1569 Lithuania and this country merged to form the largest single kingdom in Eastern Europe"
"mayaguez","In 1975, 38 Americans died trying to rescue this U.S. merchant ship seized by Cambodian forces"
"custer","On June 25, 1876 he decided to attack a group that included Crazy Horse; oops"
"alaska","In 1989 the Exxon Valdez tanker spilled 260,000 barrels of crude off this state; oops"
"titanic","Around 11:40 P.M. on April 14, 1912 it was traveling at about 21 knots, nearly its top speed; oops"
"napoleon","In 1812 his 600,000-man army entered Russia; about 30,000 limped home from Moscow; oops"
"china","In 1856 France joined Britain in a second Opium War with this country"
"americanembassy","It was seized by Iranian militants on November 4, 1979 and held for over 400 days"
"gladstone","Between 1868 and 1894, Benjamin Disraeli was Prime Minister of England twice and this man was P.M. 4 times"
"mughals","The ""Golden Age"" of this Indian empire occurred during the reign of Shah Jahan, who built the Taj Mahal"
"peloponnesianwar","In 404 B.C. a starving Athens was forced to give up its long fight in this war"
"portugal","After years of war, Spain finally recognized this neighbor's independence in 1668"
"egypt","From Menes to the Ptolemys, this country had more kings than any other in ancient history"
"olympics","The 1st recorded date in Greek history was equivalent to 776 B.C. when these began"
"madamepompadour","This mistress of Louis XV reportedly had the most costly porcelain chocolate service ever made"
"domesdaybook","In 1086 William the Conqueror had a survey of England taken which was recorded in this book"
"china","Between 1850 and 1864, the Taiping Rebellion claimed an estimated 20,000,000 lives in this country"
"vaticancity","The 1929 Lateran Treaty recognized the inherent sovereignty of this holy state"
"johnrolfe","Pocahontas was married to this man for just 3 years before her death in 1617"
"denmark","In 1917 the U.S. acquired the U.S. Virgin Islands for $25 million from this country"
"ivanterrible","Disappointment with the Livonian War and suspected treasons in 1582 may have led this czar to order his 1st executions"
"nottingham","In 1449 Henry VI instituted the (hopefully non-evil) office of sheriff here, now an industrial city in central England"
"nero","In 62 A.D. this Roman emperor had his wife Octavia put to death, then he got remarried the same year... coincidence?"
"petergreat","In 1712 this Russian czar moved his capital to St. Petersburg"
"roaldamundsen","Using a herring boat, this Norwegian became the first to navigate the Northwest Passage in 1906"
"aristidebriand","A 1928 treaty outlawing war was formulated by Frank Kellogg and this French foreign minister"
"directory","During the second half of the French Revolution, 1795-99, this five-man board ruled France"
"hannibal","7 years after crossing the Alps, he reached the gates of Rome with his troops in 211 B.C., but didn't get in"
"incas","In 1533 Pizarro killed Atahualpa, the leader of these people"
"mongols","Ivan the Great made the great decision to gain independence from this group known as the Golden Horde"
"lordbaltimore","In 1632 this lord founded the colony of Maryland"
"richardlionhearted","He succeeded Henry II as king of England in 1189 and was himself succeeded by John in 1199"
"napoleon","In 1791 this future French emperor became a lieutenant colonel in the Corsican National Guard"
"cambodia","Between the 800s and 1400s the Khmer had a Hindu-Buddhist kingdom with its capital in what is now this country"
"gibraltar","In 1830 this peninsula connected to southern Spain was made a British crown colony"
"congo","In 1964 Moise Tshombe, who led the Katanga secession, became premier of this country, now Zaire"
"carthage","This Phoenician city was founded in 814 B.C. on the shores of the Gulf of Tunis"
"hawaii","It became a U.S. territory in 1900 and was attacked 18 years before becoming a state"
"hadrian","Roman emperor, 117-138, he built walls in Germany as well as in Britain"
"hungerstrike","Mode of protest used by Emmeline Pankhurst and Mohandas Gandhi while in jail"
"christophercolumbus","His second voyage, beginning in 1493, included visits to Jamaica and Puerto Rico"
"mulan","In 1999 China confirmed that this girl really existed and served in China's army 1,300 years ago"
"decimalsystem","From India the Arabs got the point of this number system also called the Hindu-Arabic System"
"portugal","Though of unsound mind, Afonso VI ruled this country from 1656 to 1667, when deposed by his brother Pedro"
"magnificent","Russia's Peter I was just ""Great""; the Turkish Suleiman I was this"
"juliuscaesar","In 47 B.C. he reported to the Romans on his victory at Zela, ""Veni, Vidi, Vici"
"catherinegreat","She was ruler of Russia when it fought 2 wars against the Ottoman Empire, 1768-1774 and 1787-1791"
"hannibal","In 218 B.C. this Carthaginian defeated the Romans at the Trebia River"
"constantine","In 325 he convened the Council of Nicaea to determine the divinity of Christ"
"colombia","In 1821 Panama broke away from Spanish rule and became a province of this country"
"trafalgar","It's the battle at which Lord Nelson sent the message ""England expects that every man will do his duty"
"jimjones","As leader of the People's Temple, he was responsible for the deaths of more than 900 followers in 1978"
"lasalle","In 1612 this French explorer claimed and named the Louisiana region for Louis XIV"
"rubber","1903's Treaty of Petropolis ""erased"" a South American dispute over an area rich in this plant resource"
"manchuria","In 1931 the invading Japanese made this Chinese area a puppet state called Manchukuo"
"homerule","The limited Irish autonomy proposed by Isaac Butt around 1870 was called this type of ""rule"
"bruges","Brugge in Flemish, this Belgian city's trade declined with the silting of the Zwyn River in the 1400s"
"tiber","In 897 Pope Stephen VI had his predecessor Formosus exhumed, put on trial and thrown into this river"
"moscow","In 1963 a ""Hot Line"" emergency link went into effect between Washington, DC and this world city"
"haiti","Jean Jacques Dessalines, brought to this island country as a slave, declared its independence in 1804"
"netherlandsholland","After a 50-year active reign, Wilhelmina stepped down as queen of this country in 1948"
"boerwar","Soldier and statesman Louis Botha helped negotiate the terms that ended this war in 1902"
"york","England's Richard III was the last king of this ruling house"
"catherinegreat","This czarina gave her lover Grigori Potemkin the Tauride Palace in St. Petersburg"
"zeus","1 of the 7 ancient wonders, the statue of this Greek god was destroyed by fire c. 475 A.D. in Constantinople"
"reformation","This religious movement of the 1500s led to the birth of Protestantism"
"maine","The Webster-Ashburton Treaty of 1842 settled the boundary dispute between New Brunswick and this state"
"bastille","The storming of this prison in 1789 is one of the most famous events of the French Revolution"
"erwinrommel","This German earned the nickname ""The Desert Fox"" while commanding the Afrika Korps in WWII"
"machupicchu","Even though it's been ""found"", this Peruvian ruin, seen here, is still called ""The Lost City of the Incas"
"wilhelmina","As queen of the Netherlands during WWI, she helped maintain Dutch neutrality"
"suleiman","This ""Magnificent"" sultan, seen here, was the 10th ruler of the Ottoman Empire"
"mexico","In 1982 this country's president Jose Lopez Portillo devalued the peso and nationalized the banks"
"douglasmacarthur","On July 5, 1945 he announced that ""The entire Philippine Islands are now liberated"
"switzerland","In 1815 the Congress of Vienna guaranteed this country's neutrality"
"petergreat","Elizabeth Petrovna, the daughter of this czar, became empress of Russia in 1741"
"suriname","This country formerly known as Dutch Guiana gained independence in 1975"
"confederacy","The only first lady it ever had was a Mississippi aristocrat named Varina"
"mahatmagandhi","This lawyer became the leader of the Indian National Congress in 1920"
"ear","An eighteenth-century war was named for this part of Robert Jenkins' body, reputedly cut off by Spaniards"
"christophercolumbus","On Oct. 28, 1492 he landed at Cuba, first calling it Juana in honor of the Spanish rulers' daughter"
"aztec","Tenochtitlan, capital of this empire, was founded in 1325 on an island in what was Lake Texcoco"
"manitoba","Between 1812 and 1815 the Scots and Irish founded the Red River settlement in this Canadian prairie province"
"sicily","In 1908 more than 50,000 were killed in an earthquake on this largest Mediterranean island"
"massacres","Historic ones of these occurred on St. Bartholomew's Day in 1572 and St. Valentine's Day in 1929"
"fletcherchristian","The officer who led the mutiny on the Bounty"
"moshedayan","During the Six-Day War, ground troops under this eyepatched Israeli minister of defense almost reached Damascus"
"santaanna","In 1836, two months after he took the Alamo, this general was routed by Sam Houston at San Jacinto"
"bismarck","Two years after William II became emperor, he sank the hopes of this ""Iron Chancellor"" by firing him"
"londonderry","After James I granted Derry, Ireland to the citizens of London, it became known as this"
"venice","Marino Faliero, who was the doge of this, led a plot to kill the nobles and was executed in 1355"
"nicholasii","This czar established a parliament called the Duma"
"peloponnesianwar","The outbreak of this war in 431 B.C. put an end to Athens' Golden Age of Pericles"
"incas","Atahualpa was the unlucky 13th emperor of these people"
"greeks","These ancient people referred to themselves as Hellenes"
"crusades","During the third of these military expeditions, the Palestinian ports of Acre and Jaffa were captured, but not Jerusalem"
"halifax","In 1840 regular transatlantic steamship service was inaugurated between Great Britain and this Nova Scotia capital"
"mariatheresa","This Holy Roman empress was also the queen of Hungary and Bohemia from 1740 to 1780"
