"spain","Escamillo is a toreador in ""Carmen"", an opera set in this European country"
"aquintet","Schubert wrote one of these in C for the unusual grouping of 2 violins, 1 viola and 2 cellos"
"mozart","Kochel No. 1 is the G major minuet and trio he composed when he was about 5"
"symphonies","The well-traveled Felix Mendelssohn wrote ""Italian"" and ""Scottish"" ones"
"arequiem","Ironically, one of the last works Franz Schubert heard was this type of mass, by his brother Ferdinand"
"figaro","A 1786 Mozart opera concerns his nuptials"
"handel","In 1741, if oratorio lovers asked this composer, ""Where's your 'Messiah' now?"", he could say, ""I just finished it"
"zarathustra","He's the title guy who ""spake"" in an 1896 tone poem by Richard Strauss"
"corelli","This Italian composer known for his Concerti Grossi, Opus 6, played violin, not mandolin"
"gioachinorossini","This Italian wrote 37 operas, from ""Demetrio e Polibio"" in 1806 to ""William Tell"" in 1829"
"fourseasons","The tension of a string orchestra against a solo violin depicts the chill of winter in this 1725 work"
"rimskykorsakov","In 1896 this ""Scheherazade"" composer reorchestrated Mussorgsky's opera ""Boris Godunov"
"gustavmahler","This Austrian's 1910 8th Symphony is also known as ""Symphony of a Thousand"" for the number needed to perform it"
"staccato","Noted with a dot on the score, it's the opposite of legato"
"sergeiprokofiev","Stalin's death the next day pushed this ""Peter and The Wolf"" composer's obit off the front page"
"vienna","In 1897 Gustav Mahler became the artistic director of this city's Imperial Opera, a post he held for 10 years"
"bayreuth","In 1874 Richard Wagner and his wife moved into Haus Wahnfried, a home in this city, paid for by KIng Ludwig"
"aserenade","Brahms' Opus 11 is one of these, but to play it at your beloved's window, you'd need to bring an orchestra"
"wagner","In 1864 this opera composer wrote an ""Homage March"" for brass band to honor his patron King Ludwig"
"dansemacabre","Halloween concerts often include this, Opus 40 by Saint-Saens, with a xylophone imitating rattling bones"
"harp","This orchestral instrument is the first one heard in Stravinsky's ""Orpheus"" and the second heard in Liszt's ""Orpheus"
"winter","In a 1982 concert of Vivaldi's ""The Four Seasons"", Isaac Stern played ""Spring"" and Itzhak Perlman concluded with this"
"planets","Oddly, the traditional order for this Gustav Holst suite places Mars first"
"chopin","At 7 he wrote a polonaise in G minor; a year later he performed for Czar Alexander I, who was in Warsaw at the time"
"clavier","In 1722 Bach composed ""The Well-Tempered"" type of this instrument"
"vivaldi","Due to the color of his hair, this ""Four Seasons"" composer was known as ""Il Prete Rosso"", or ""The Red Priest"
"hiswedding","Robert Schumann's 1841 ""Spring"" symphony dealt with this important event in his life"
"toscanini","From 1937 to 1954 he directed NBC's Radio Symphony Orchestra"
"pierreboulez","In 1969 this French composer was selected to replace Leonard Bernstein as director of the N.Y. Philharmonic"
"mozart","His son Wolfgang Jr. was a pupil of Salieri"
"tchaikovsky","This Russian collaborated on ""Swan Lake"" with choreographer Marius Petipa"
"gershwin","After his ""Rhapsody In Blue"", this American composer gave us a ""Second Rhapsody"
"chopin","Born in 1810, this pianist studied harmony at the Warsaw Conservatory"
"aida","First performed in Cairo, this Verdi opera was commissioned by the Khedive of Egypt"
"acello","A traditional string quartet is made up of 2 violins, 1 viola and 1 of these instruments"
"ivanhoe","Sullivan, of Gilbert and Sullivan, wrote an opera based on this Walter Scott character"
"bluedanube","Completes the title of the Strauss waltz, ""On the Beautiful..."
"bennygoodman","This ""King of Swing"" recorded Mozart's Quintet in A Major for Clarinet and Strings"
"surprisesymphony","Haydn's Symphony No. 94 in G Major was named this, from the sudden loud chord which made the lades wake up"
"schumann","In ""Spring Symphony"", Nastassja Kinski plays Clara Wieck, pianist and wife of this composer"
"organ","The toccata is a form of solo composition written by Bach primarily for this instrument"
"piano","Mendelssohn's ""Songs without Words"" were once the most popular pieces for this instrument"
"beethoven","His symphonies include ""Eroica"", ""Pastoral"", and ""Chorale"
"ravel","His last work, ""Don Quichotte a Dulcinée"", has the same Spanish flavor as his more famous ""Bolero"
"anopera","Weigmann's ""Der Klarinetten-Macher"", about clarinet inventor Johann Denner, is one of these works"
"organ","Pipe up if you know Bach wrote a ""Little Book"" of 45 Chorales for this instrument"
"quartet","Nissel, Brainin, Schidlof and Lovett performed as the ""Amadeus"" this type of group"
"robertschumann","At 18, this composer studied with Friedrich Wieck and met Wieck's 9-year-old daughter Clara, his future wife"
"strings","The horn players took a break on Nov. 5, 1938 when the NBC Symphony premiered Barber's ""Adagio for"" these"
"allegro","Mendelssohn put this Italian word for a brisk tempo on the first movement of his ""Italian"" symphony"
"organ","Joseph Rheinberger played this instrument for his parish church at age 7 and wrote 2 notable sonatas for it"
"requiem","Blessed are they that go mourning"" is the opening chorus of Brahms' ""German"" this"
"amandolin","Vivaldi and Hummel wrote concertos for this pear-shaped guitarlike instrument"
"nutcracker","Tchaikovsky simultaneously composed early sketches for the ""Pathetique"" symphony and this lively ballet suite"
"mozart","Giuseppe Gazzaniga and this composer based their ""Don Giovanni"" operas on the same libretto"
"johannesbrahms","Joseph Joachim, a friend of this German composer, lived to make a 1903 recording of his works"
"debussy","His first mature orchestral work, 1894's ""Prelude To The Afternoon Of A Faun"", was based on a poem by Stephane Mallarme"
"giacomopuccini","After seeing Verdi's ""Aida"" he decided opera was to be his forte and came up with ""La boheme"" and ""Tosca"" among others"
"felixmendelssohn","Arthur Sullivan in 1856 was the first person to receive the scholarship named for this ""Bridal March"" composer"
"peergynt","In 1874 Ibsen asked Edvard Grieg to compose incidental music for this play"
"acapriccio","Italian for ""a whim"", Strauss used it as an opera title, Paganini for a violin study"
"warsaw","Frederic Chopin was born in a village near this Polish capital"
"mozart","Franz Schubert called this man's ""Marriage of Figaro"" Overture ""the most beautiful in the whole world"
"handel","After his oratorio ""Esther"" hit big in concert instead of drama form, he wrote others like it, including ""Messiah"
"emperor","This Beethoven piano concerto, Opus 73, sounds fit for more thn a king"
"mozart","Newly discovered pieces by this man, composed when he was 7, were performed in his Salzburg home in 2009"
"bolro","The name of this rhythmic Ravel piece also refers to an open-front Spanish jacket"
"beethoven","All creatures drink of joy at nature's breast"" is from a verse used in an 1824 symphony by this man"
"slowly","The tempo marking lento means this"
"operas","Premiering in 1598, ""Dafne"" was the first of these musical dramas"
"mozart","His Piano Concerto No. 18, K. 456, was written for Viennese virtuoso Maria Theresia von Paradis"
"segovia","This Spaniard who gave his first concert in Granada in 1909 arranged Bach and Haydn for the guitar"
"liszt","This Hungarian wrote two program symphonies based on literature, ""Faust"" and ""Dante"
"mendelssohn","He wrote his ""A Midsummer Night's Dream"" overture before he was 18"
"benjaminbritten","Gloriana"", which he wrote for Elizabeth II's coronation, was about Elizabeth I and Essex"
"richardwagner","Ludwig II of Bavaria adored this composer's work and paid him to complete ""The Ring of the Nibelung"
"leonardbernstein","In 1970 he revised his 1962 book ""Young People's Concerts for Reading and Listening"
"johannesbrahms","One of the 3 Bs, he wrote ""Hungarian Dances"" while Liszt wrote ""Hungarian Rhapsodies"
"georgesbizet","This ""Carmen"" composer's ""Symphony in C"" wasn't heard until the 1930s, over 50 years after his death"
"gioacchinorossini","He wrote ""William Tell"" for the Paris Opera"
"claudedebussy","The flute plays an important role in this composer's ""Prelude A L' Apres-Midi D' Un Faune"
"felixmendelssohn","This German composer of ""A Midsummer Night's Dream"" overture was a child prodigy"
"enricocaruso","After his debut in his hometown of Naples in 1894, it was a fast climb to the top for this tenor"
"pagliacci","This Leoncavallo opera of 1892 has a Commedia Dell'Arte playlet within it"
"emperorconcerto","This Beethoven piano concerto, Opus 73, sounds fit for more than a king"
"austria","The music of this country's national anthem is attributed to a native son, Mozart"
"georgesbizet","He burned the score of his 5-act opera ""Ivan IV"" before ""Carmen"" made him a success"
"edvardgrieg","Ibsen asked this Norwegian to compose the music for the stage version of ""Peer Gynt"
"nutcracker","Peter Tchaikovsky wrote 3 ballets: ""Swan Lake"", ""Sleeping Beauty"" and this perennial Christmas favorite"
"giacomopuccini","When he died in 1924, he was working on the last act of ""Turandot""; Franco Alfano completed the opera"
"edvardgrieg","In September 1907 this Norwegian's ashes were buried in a cliff near his country home Troldhaugen"
"lieder","Franz Schubert is credited with popularizing these German art songs -- he composed almost 650 of them"
"hectorberlioz","This ""Symphonie Fantastique"" composer worked for a while as music critic for the Journal des Debats"
"moscow","On May 2, 1936 ""Peter and the Wolf"" had its world premiere in this capital city"
"hoffmann","In one of his ""tales"" in an Offenbach opera, this poet is in love with a mechanical doll named Olympia"
"fredericchopin","His ""Songs To Remember"" include about 40 mazurkas written in a 3/4 dance rhythm"
"johannesbrahms","This composer's 1868 work ""Wiegenlied"" is better known to us as ""Lullaby"
"creation","Joseph Haydn based this 1798 oratorio on the Bible and Milton's ""Paradise Lost"
"b","The symbol for ""flat"" closely resembles this lower case English letter"
"bizet","The 1954 Dorothy Dandridge/Harry Belafonte film ""Carmen Jones"" was based on this composer's opera"
"stolzelvalve","In 1818, Heinrich Stolzel took out a patent on this horn improvement allowing changes of pitch"
"oboe","Other orchestra members standardly get their ""A"" note for tuning from this instrument"
"acello","One of the most common chamber groups, the string quartet consists of 2 violins, a viola and this instrument"
"gregory","Around 600 A.D. the first pope named this collected and organized the chants used in church services"
"zubinmehta","In 1981 this maestro from India was made music director for life of the Israel Philharmonic"
"aramkhachaturian","This composer of Armenian heritage is best known for the ""Sabre Dance"" from his ballet ""Gayane"
"mozart","In 1862 Ludwig Ritter Von Kochel issued a catalog of this Austrian composer's works, using ""K"" numbers"
"haydn","The loud surprise in his ""Surprise"" Symphony comes during a soft passage in the second movement"
"afugue","This type of composition whose name is from the Latin for ""flight"" features multiple melodies in counterpoint"
"paderewski","During World War II this Polish pianist was one of his country's leaders in exile"
"baton","Mendelssohn was one of the first to use this to conduct"
"pitch","In a pipe organ, a pipe's shape affects its tone quality, and its length determines this"
"johannesbrahms","Of the three ""B""'s, the one who left town when rejected as Philharmonic conductor in his native Hamburg"
"niccolopaganini","Pehaps the greatest violinist ever, this Italian could play a whole piece on just one string"
"brahms","When Mendelssohn died, Eduard Marxsen wrote, ""A master of the art is gone; a greater arises in"" this ""Lullaby"" composer"
"dvork","From 1892 to 1895 this Czech served as Director of the National Conservatory of Music in New York City"
"queens","Donizetti's operas ""Anna Bolena"", ""Maria Stuarda"" and ""Roberto Devereux"" are known as ""The Three"" these women"
"batons","Richard Horowitz, a timpanist with the Met, makes these sticks that a conductor uses"
"zubinmehta","Indian-born music director of the Israel Philharmonic, he also conducts the New York Philharmonic"
"vancliburn","A Ft. Worth piano contest is named for this winner of the 1958 Int'l Tchaikovsky Competition"
"franzschubert","If Beethoven rolled over in his grave, he'd find this composer of the Incidental Music to Rosamunde"
"franzliszt","The unpublished manuscript of the 20th of his ""Hungarian Rhapsodies"" has been in a museum in Weimar, Germany"
"hectorberlioz","In 2003 the Met celebrated this composer's bicentennial by mounting his epic opera ""Les Troyens"
"gioachinorossini","While living in Paris in 1829, he wrote his last opera, ""William Tell"
"napoleon","Beethoven originally dedicated his 1804 ""Eroica"" symphony to this world leader"
"claudedebussy","This French composer's 1894 work, ""Prelude to the Afternoon of a Faun"", illustrated a Mallarme poem"
"alexanderborodin","This Russian's popular Polovitzian dances are from his 1890 opera ""Prince Igor"
